Ballots with first choice:,Number of Ballots,ELLEN LEE ZHOU ranked in top 3,JOEL VENTRESCA ranked in top 3,LONDON N. BREED ranked in top 3,MARC ROTH ranked in top 3,PAUL YBARRA ROBERTSON ranked in top 3,"ROBERT L. JORDAN, JR. ranked in top 3",WILMA PANG ranked in top 3,writeIns ranked in top 3
ELLEN LEE ZHOU,25003.0,100.0,21.57,30.14,0.01,26.94,11.85,34.29,0.0
JOEL VENTRESCA,13277.0,24.01,100.0,34.92,0.02,26.02,13.39,24.77,0.0
LONDON N. BREED,126207.0,19.69,17.22,100.0,0.0,13.27,6.18,11.83,0.0
MARC ROTH,7.0,14.29,42.86,57.14,100.0,14.29,14.29,14.29,0.0
PAUL YBARRA ROBERTSON,7647.0,36.21,39.47,25.53,0.0,100.0,18.79,24.1,0.0
"ROBERT L. JORDAN, JR.",2458.0,29.09,31.24,22.74,0.0,40.36,100.0,23.43,0.0
WILMA PANG,4961.0,43.82,27.37,24.77,0.02,30.64,19.29,100.0,0.0
writeIns,1.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0
