Ballots with first choice:,Number of Ballots,Andy Exley ranked in top 3,Bruce Lundeen ranked in top 3,Laura Jean ranked in top 3,M. Cali ranked in top 3,Michael Tupper ranked in top 3,Robert Lilligren ranked in top 3,writeIns ranked in top 3
Andy Exley,165,165,40,74,50,38,64,1
Bruce Lundeen,60,28,60,10,12,14,24,1
Laura Jean,231,89,38,231,36,71,91,1
M. Cali,158,43,16,21,158,30,27,0
Michael Tupper,292,82,57,84,48,292,85,10
Robert Lilligren,1020,204,159,313,125,193,1020,7
writeIns,4,0,0,0,0,1,2,4
