Ballots with first choice:,Number of Ballots,Alix Amelia Rosenthal ranked in top 3,Bevan Dufty ranked in top 3,Starchild ranked in top 3,writeIns ranked in top 3
Alix Amelia Rosenthal,9251,9251,5069,3700,0
Bevan Dufty,20924,9491,20924,6001,0
Starchild,1537,835,806,1537,0
writeIns,3,1,0,0,3
