Ballots with first choice:,Number of Ballots,"Fulford, Jonathan S. ranked in top 3","Golden, Jared F. ranked in top 3","Olson, Craig R. ranked in top 3","St. Clair, Lucas R. ranked in top 3"
"Fulford, Jonathan S.",2496.0,100.0,51.08,52.64,33.05
"Golden, Jared F.",21017.0,20.4,100.0,46.25,56.84
"Olson, Craig R.",4002.0,27.14,57.8,100.0,53.47
"St. Clair, Lucas R.",17790.0,18.98,61.01,45.49,100.0
