Ballots with first choice:,Number of Ballots,BILL HEMENGER ranked in top 3,RAFAEL MANDELMAN ranked in top 3,REBECCA PROZAN ranked in top 3,SCOTT WIENER ranked in top 3,writeIns ranked in top 3
BILL HEMENGER,1802,1802,382,740,869,8
RAFAEL MANDELMAN,12433,1007,12433,7227,5422,81
REBECCA PROZAN,5872,1005,3221,5872,3742,16
SCOTT WIENER,14813,3244,6002,9267,14813,41
writeIns,30,1,1,1,2,30
