Ballots with first choice:,Number of Ballots,"Barbara A. ""Barb"" Johnson ranked in top 3",Dana Hansen ranked in top 3,Phillipe M. Cunningham ranked in top 3,Stephanie Gasca ranked in top 3,writeIns ranked in top 3
"Barbara A. ""Barb"" Johnson",2258.0,100.0,13.6,43.09,40.97,1.11
Dana Hansen,220.0,25.45,100.0,36.36,36.82,3.64
Phillipe M. Cunningham,2139.0,43.76,20.34,100.0,67.98,2.01
Stephanie Gasca,634.0,38.01,28.08,71.61,100.0,3.47
writeIns,11.0,9.09,9.09,36.36,9.09,100.0
