Ballots with first choice:,Number of Ballots,Barbara Gelman ranked in top 3,Bernardo Tuma ranked in top 3,Beverly Davidson ranked in top 3,Dale Washam ranked in top 3,Jan Shabro ranked in top 3,Terry Lee ranked in top 3,writeIns ranked in top 3
Barbara Gelman,49874,49874,4295,17106,9872,16227,13029,145
Bernardo Tuma,18205,4171,18205,4471,4731,5754,6111,93
Beverly Davidson,27340,10025,4814,27340,5812,8640,7590,111
Dale Washam,65676,13564,9574,10714,65676,23741,23472,298
Jan Shabro,50023,15912,6956,11622,12631,50023,13493,170
Terry Lee,50278,15372,9068,9521,13410,16850,50278,162
writeIns,1051,53,32,37,41,32,54,1051
