Ballots with first choice:,Number of Ballots,"Fantini, Alfred B. ranked in top 3","Grassi, Joseph G. ranked in top 3","Harding, Richard, Jr. ranked in top 3","Lemily Wiggins, Gail ranked in top 3","Malner, Stefan ranked in top 3","McGovern, Marc C. ranked in top 3","Nolan, Patricia M. ranked in top 3","Schuster, Luc ranked in top 3","Tauber, Nancy ranked in top 3",writeIns ranked in top 3
"Fantini, Alfred B.",2013.0,100.0,60.11,23.6,8.25,2.43,19.08,15.65,7.8,6.66,0.15
"Grassi, Joseph G.",1625.0,57.05,100.0,26.15,8.25,2.52,14.34,15.82,7.63,7.63,0.12
"Harding, Richard, Jr.",1561.0,26.27,27.99,100.0,8.14,3.72,22.29,23.32,15.25,11.27,0.13
"Lemily Wiggins, Gail",1024.0,12.99,10.06,9.96,100.0,16.31,22.07,22.85,24.9,42.29,0.39
"Malner, Stefan",133.0,6.02,9.77,11.28,27.07,100.0,33.83,18.8,16.54,31.58,0.75
"McGovern, Marc C.",2275.0,12.92,10.73,24.09,13.54,3.56,100.0,43.38,31.69,20.53,0.22
"Nolan, Patricia M.",1672.0,14.95,12.74,21.65,14.29,2.45,44.62,100.0,30.32,22.25,0.18
"Schuster, Luc",1675.0,13.31,10.39,17.25,17.01,2.51,36.84,36.48,100.0,24.78,0.3
"Tauber, Nancy",1245.0,8.67,9.0,11.41,34.94,14.38,30.6,24.74,25.06,100.0,0.0
writeIns,36.0,13.89,2.78,5.56,0.0,0.0,11.11,5.56,2.78,11.11,100.0
