Ballots with first choice:,Number of Ballots,CECILIA ''CES'' ROSALES ranked in top 3,GEORGE BEIER ranked in top 3,KRISS WORTHINGTON ranked in top 3,writeIns ranked in top 3
CECILIA ''CES'' ROSALES,632,632,490,515,19
GEORGE BEIER,1438,1086,1438,995,29
KRISS WORTHINGTON,2078,1375,1259,2078,53
writeIns,36,13,3,15,36
