Ballots with first choice:,Number of Ballots,Jon Olson ranked in top 3,Michael Guest ranked in top 3,writeIns ranked in top 3
Jon Olson,2874.0,100.0,32.43,2.26
Michael Guest,2183.0,37.98,100.0,2.52
writeIns,43.0,16.28,18.6,100.0
