Ballots with first choice:,Number of Ballots,Brent Perry ranked in top 3,Charley Underwood ranked in top 3,Rick L. Nyhlen ranked in top 3,Sandy Colvin Roy ranked in top 3,writeIns ranked in top 3
Brent Perry,130,130,83,38,72,3
Charley Underwood,663,190,663,238,353,6
Rick L. Nyhlen,880,115,273,880,207,16
Sandy Colvin Roy,3035,300,1124,536,3035,23
writeIns,10,1,0,2,1,10
