Ballots with first choice:,Number of Ballots,Calvin Goings ranked in top 3,Mike Lonergan ranked in top 3,Pat McCarthy ranked in top 3,Shawn Bunney ranked in top 3,writeIns ranked in top 3
Calvin Goings,69052.0,100.0,40.94,63.32,25.91,0.61
Mike Lonergan,45330.0,45.59,100.0,47.56,42.92,0.82
Pat McCarthy,79235.0,68.15,44.91,100.0,22.36,0.57
Shawn Bunney,105057.0,27.76,38.66,27.95,100.0,1.37
writeIns,458.0,9.17,16.59,10.04,10.48,100.0
