Ballots with first choice:,Number of Ballots,Andrew Johnson ranked in top 3,Harrison Bullard ranked in top 3,Will Jaeger ranked in top 3,writeIns ranked in top 3
Andrew Johnson,8875.0,100.0,27.83,29.36,1.55
Harrison Bullard,316.0,64.24,100.0,69.94,2.85
Will Jaeger,958.0,53.13,52.51,100.0,2.92
writeIns,35.0,11.43,14.29,17.14,100.0
