Ballots with first choice:,Number of Ballots,Anita Grier ranked in top 3,Fil M. Silverio ranked in top 3,Gerardo Sandoval ranked in top 3,Jose Medina ranked in top 3,Myrna Viray Lim ranked in top 3,Rebecca Reynolds Silverberg ranked in top 3,Rolando A. Bonialla ranked in top 3,Tom Yuen ranked in top 3
Anita Grier,2806,2806,143,782,867,943,770,363,559
Fil M. Silverio,307,87,307,64,50,87,80,48,58
Gerardo Sandoval,7477,1709,252,7477,3005,1508,1432,1877,692
Jose Medina,2869,893,167,1169,2869,756,663,718,285
Myrna Viray Lim,4280,1258,325,1278,1043,4280,790,729,1196
Rebecca Reynolds Silverberg,1816,653,91,509,594,583,1816,390,200
Rolando A. Bonialla,2293,411,119,820,819,584,501,2293,199
Tom Yuen,1328,496,111,267,214,721,175,71,1328
