Ballots with first choice:,Number of Ballots,LARRY E. REID ranked in top 3,MARCIE HODGE ranked in top 3,NEHANDA IMARA ranked in top 3
LARRY E. REID,8464.0,100.0,54.18,48.65
MARCIE HODGE,3947.0,65.11,100.0,63.34
NEHANDA IMARA,3324.0,59.42,63.81,100.0
