Ballots with first choice:,Number of Ballots,A. JACKSON MATTESON ranked in top 3,ADRIAN BERMUDEZ ranked in top 3,AHSHA SAFAI ranked in top 3,ELI M. HORN ranked in top 3,JOHN AVALOS ranked in top 3,JULIO RAMOS ranked in top 3,MARY GOODNATURE ranked in top 3,MYRNA LIM ranked in top 3,RANDY KNOX ranked in top 3,writeIns ranked in top 3
A. JACKSON MATTESON,1,1,0,0,0,0,0,0,1,0,0
ADRIAN BERMUDEZ,415,0,415,136,34,112,193,58,66,38,2
AHSHA SAFAI,5965,0,457,5965,347,1953,1866,449,1950,1541,14
ELI M. HORN,394,0,45,90,394,92,83,43,86,107,2
JOHN AVALOS,6964,0,700,2084,287,6964,3191,347,1482,2139,20
JULIO RAMOS,3646,0,775,1068,206,1445,3646,290,1066,652,11
MARY GOODNATURE,459,0,69,137,62,86,126,459,175,89,0
MYRNA LIM,4462,0,279,1437,212,1290,1484,638,4462,908,5
RANDY KNOX,2337,0,116,768,234,755,707,176,659,2337,4
writeIns,30,0,0,1,1,1,0,0,2,0,30
