Ballots with first choice:,Number of Ballots,Kale Severson ranked in top 3,Mike Talley Tate ranked in top 3,writeIns ranked in top 3
Kale Severson,5088.0,100.0,51.87,4.85
Mike Talley Tate,3775.0,50.54,100.0,5.14
writeIns,67.0,14.93,17.91,100.0
