Ballots with first choice:,Number of Ballots,Michela Alioto-pier ranked in top 3,Vilma Guinto Peoro ranked in top 3,writeIns ranked in top 3
Michela Alioto-pier,16707,16707,3631,45
Vilma Guinto Peoro,3487,1256,3487,14
writeIns,716,183,164,716
