Ballots with first choice:,Number of Ballots,David Regan ranked in top 3,Elizabeth Glidden ranked in top 3,Gregory McDonald ranked in top 3,Jeanine Estime ranked in top 3,Michael J. Cavlan ranked in top 3,writeIns ranked in top 3
David Regan,174.0,100.0,18.97,40.23,12.07,10.92,1.72
Elizabeth Glidden,2291.0,2.84,100.0,17.15,46.14,11.7,0.79
Gregory McDonald,115.0,22.61,42.61,100.0,35.65,26.09,0.87
Jeanine Estime,470.0,3.62,71.49,25.32,100.0,31.49,0.21
Michael J. Cavlan,43.0,11.63,41.86,18.6,60.47,100.0,0.0
writeIns,3.0,0.0,0.0,0.0,0.0,0.0,100.0
