Ballots with first choice:,Number of Ballots,Ginger Jentzen ranked in top 3,Samantha Pree-Stinson ranked in top 3,Steve Fletcher ranked in top 3,Tim Bildsoe ranked in top 3,writeIns ranked in top 3
Ginger Jentzen,3297,3297,1567,1819,977,57
Samantha Pree-Stinson,1007,475,1007,657,395,11
Steve Fletcher,2709,1023,1162,2709,1567,49
Tim Bildsoe,2550,417,843,1732,2550,49
writeIns,27,1,0,4,5,27
