Ballots with first choice:,Number of Ballots,David Ferguson ranked in top 3,Doug Chan ranked in top 3,Ed Jew ranked in top 3,Houston Zheng ranked in top 3,Jaynry Mak ranked in top 3,Ron Dudum ranked in top 3,writeIns ranked in top 3
David Ferguson,1455,1455,243,417,148,574,542,0
Doug Chan,3236,437,3236,1556,334,1341,1150,0
Ed Jew,5184,548,2982,5184,925,2484,931,0
Houston Zheng,234,64,96,103,234,69,46,0
Jaynry Mak,4569,1284,1625,1640,434,4569,1111,1
Ron Dudum,5134,1579,1542,1591,307,1224,5134,1
writeIns,2,0,0,0,0,0,0,2
