Ballots with first choice:,Number of Ballots,% of votes to DEAN PRESTON,% of votes to VALLIE BROWN,% of votes to exhaust,percent_sum
DEAN PRESTON,11239.0,100.0,0.0,0.0,100.0
NOMVULA O'MEARA,278.0,43.88,25.54,30.58,99.99999999999999
RYAN LAM,950.0,38.11,27.26,34.63,100.0
VALLIE BROWN,11208.0,0.0,100.0,0.0,100.0
writeIns,0.0,0,0,0,0
