Candidate 0000025CHRIS CUNNIE                                      0000001000000200
Candidate 0000026DAVID WONG                                        0000002000000200
Candidate 0000027PAUL MIYAMOTO                                     0000003000000200
Candidate 0000028ROSS MIRKARIMI                                    0000004000000200
Candidate 0000002WRITE-IN                                          0000005000000210
Precinct  0000119Pct 2502 MB                                       0000119000000000
Precinct  0000120Pct 2503                                          0000120000000000
Precinct  0000121Pct 2504/2505                                     0000121000000000
Precinct  0000122Pct 2506/2507                                     0000122000000000
Precinct  0000123Pct 2509                                          0000123000000000
Precinct  0000124Pct 2511/2508                                     0000124000000000
Precinct  0000125Pct 2512                                          0000125000000000
Precinct  0000126Pct 2513/2515                                     0000126000000000
Precinct  0000127Pct 2514 MB                                       0000127000000000
Precinct  0000128Pct 2701                                          0000128000000000
Precinct  0000129Pct 2702                                          0000129000000000
Precinct  0000130Pct 2703                                          0000130000000000
Precinct  0000131Pct 2705/2704                                     0000131000000000
Precinct  0000132Pct 2706                                          0000132000000000
Precinct  0000133Pct 2707                                          0000133000000000
Precinct  0000134Pct 2709                                          0000134000000000
Precinct  0000135Pct 2713/2712                                     0000135000000000
Precinct  0000136Pct 2714                                          0000136000000000
Precinct  0000137Pct 2715                                          0000137000000000
Precinct  0000138Pct 2716 MB                                       0000138000000000
Precinct  0000139Pct 2717/2708                                     0000139000000000
Precinct  0000140Pct 2718/2711                                     0000140000000000
Precinct  0000141Pct 2721                                          0000141000000000
Precinct  0000142Pct 2722/2726                                     0000142000000000
Precinct  0000143Pct 2723                                          0000143000000000
Precinct  0000144Pct 2724/2719                                     0000144000000000
Precinct  0000145Pct 2725                                          0000145000000000
Precinct  0000146Pct 2727                                          0000146000000000
Precinct  0000147Pct 2728                                          0000147000000000
Precinct  0000148Pct 2729/2731                                     0000148000000000
Precinct  0000149Pct 2730                                          0000149000000000
Precinct  0000150Pct 2733/2749                                     0000150000000000
Precinct  0000151Pct 2734                                          0000151000000000
Precinct  0000152Pct 2735/2739                                     0000152000000000
Precinct  0000153Pct 2736                                          0000153000000000
Precinct  0000154Pct 2737                                          0000154000000000
Precinct  0000155Pct 2738                                          0000155000000000
Precinct  0000156Pct 2741/2752                                     0000156000000000
Precinct  0000157Pct 2742                                          0000157000000000
Precinct  0000158Pct 2743                                          0000158000000000
Precinct  0000159Pct 2744                                          0000159000000000
Precinct  0000160Pct 2745                                          0000160000000000
Precinct  0000161Pct 2746/2732                                     0000161000000000
Precinct  0000162Pct 2747                                          0000162000000000
Precinct  0000163Pct 2748                                          0000163000000000
Precinct  0000164Pct 2751                                          0000164000000000
Precinct  0000165Pct 2753/2755                                     0000165000000000
Precinct  0000166Pct 2754 MB                                       0000166000000000
Precinct  0000167Pct 2756                                          0000167000000000
Precinct  0000168Pct 2757                                          0000168000000000
Precinct  0000169Pct 2758                                          0000169000000000
Precinct  0000170Pct 2759                                          0000170000000000
Precinct  0000171Pct 2761                                          0000171000000000
Precinct  0000172Pct 2901/2905                                     0000172000000000
Precinct  0000173Pct 2902/2906                                     0000173000000000
Precinct  0000174Pct 2904/2903                                     0000174000000000
Precinct  0000175Pct 3000 MB                                       0000175000000000
Precinct  0000176Pct 3001                                          0000176000000000
Precinct  0000177Pct 3002                                          0000177000000000
Precinct  0000178Pct 3003                                          0000178000000000
Precinct  0000179Pct 3004/3006                                     0000179000000000
Precinct  0000180Pct 3005                                          0000180000000000
Precinct  0000181Pct 3007                                          0000181000000000
Precinct  0000182Pct 3008/3010                                     0000182000000000
Precinct  0000183Pct 3009                                          0000183000000000
Precinct  0000184Pct 3011                                          0000184000000000
Precinct  0000185Pct 3012 MB                                       0000185000000000
Precinct  0000186Pct 3013/3018                                     0000186000000000
Precinct  0000187Pct 3015                                          0000187000000000
Precinct  0000188Pct 3016                                          0000188000000000
Precinct  0000189Pct 3019                                          0000189000000000
Precinct  0000190Pct 3021/3020                                     0000190000000000
Precinct  0000191Pct 3022/3014                                     0000191000000000
Precinct  0000192Pct 3023/3017                                     0000192000000000
Precinct  0000193Pct 3024                                          0000193000000000
Precinct  0000194Pct 3025                                          0000194000000000
Precinct  0000195Pct 3026                                          0000195000000000
Precinct  0000196Pct 3027                                          0000196000000000
Precinct  0000197Pct 3028                                          0000197000000000
Precinct  0000198Pct 3029 MB                                       0000198000000000
Precinct  0000199Pct 3031                                          0000199000000000
Precinct  0000200Pct 3033/3032                                     0000200000000000
Precinct  0000201Pct 3034                                          0000201000000000
Precinct  0000202Pct 3036/3035                                     0000202000000000
Precinct  0000203Pct 3037                                          0000203000000000
Precinct  0000204Pct 3038 MB                                       0000204000000000
Precinct  0000205Pct 3039 MB                                       0000205000000000
Precinct  0000206Pct 3101 MB                                       0000206000000000
Precinct  0000207Pct 3200                                          0000207000000000
Precinct  0000208Pct 3201                                          0000208000000000
Precinct  0000209Pct 3203/3204                                     0000209000000000
Precinct  0000210Pct 3205/3221                                     0000210000000000
Precinct  0000211Pct 3206                                          0000211000000000
Precinct  0000212Pct 3207/3202                                     0000212000000000
Precinct  0000213Pct 3208                                          0000213000000000
Precinct  0000214Pct 3209/3211                                     0000214000000000
Precinct  0000215Pct 3212                                          0000215000000000
Precinct  0000216Pct 3213/3210                                     0000216000000000
Precinct  0000217Pct 3214                                          0000217000000000
Precinct  0000218Pct 3215                                          0000218000000000
Precinct  0000219Pct 3216                                          0000219000000000
Precinct  0000220Pct 3217                                          0000220000000000
Precinct  0000221Pct 3218                                          0000221000000000
Precinct  0000222Pct 3222                                          0000222000000000
Precinct  0000223Pct 3223                                          0000223000000000
Precinct  0000224Pct 3224                                          0000224000000000
Precinct  0000225Pct 3225                                          0000225000000000
Precinct  0000226Pct 3226                                          0000226000000000
Precinct  0000227Pct 3227                                          0000227000000000
Precinct  0000228Pct 3228/3219                                     0000228000000000
Precinct  0000229Pct 3229                                          0000229000000000
Precinct  0000230Pct 3233                                          0000230000000000
Precinct  0000231Pct 3234                                          0000231000000000
Precinct  0000232Pct 3235/3231                                     0000232000000000
Precinct  0000233Pct 3236/3232                                     0000233000000000
Precinct  0000234Pct 3238/3237                                     0000234000000000
Precinct  0000235Pct 3239                                          0000235000000000
Precinct  0000236Pct 3241                                          0000236000000000
Precinct  0000237Pct 3242                                          0000237000000000
Precinct  0000238Pct 3243                                          0000238000000000
Precinct  0000239Pct 3301                                          0000239000000000
Precinct  0000240Pct 3302/3306                                     0000240000000000
Precinct  0000241Pct 3303/3304                                     0000241000000000
Precinct  0000242Pct 3305                                          0000242000000000
Precinct  0000243Pct 3308                                          0000243000000000
Precinct  0000244Pct 3309                                          0000244000000000
Precinct  0000245Pct 3311/3329                                     0000245000000000
Precinct  0000246Pct 3312                                          0000246000000000
Precinct  0000247Pct 3314/3313                                     0000247000000000
Precinct  0000248Pct 3315                                          0000248000000000
Precinct  0000249Pct 3316                                          0000249000000000
Precinct  0000250Pct 3317/3307                                     0000250000000000
Precinct  0000251Pct 3318/3319                                     0000251000000000
Precinct  0000252Pct 3321                                          0000252000000000
Precinct  0000253Pct 3322/3323                                     0000253000000000
Precinct  0000254Pct 3324/3325                                     0000254000000000
Precinct  0000255Pct 3326                                          0000255000000000
Precinct  0000256Pct 3327                                          0000256000000000
Precinct  0000257Pct 3328/3337                                     0000257000000000
Precinct  0000258Pct 3332/3331                                     0000258000000000
Precinct  0000259Pct 3333                                          0000259000000000
Precinct  0000260Pct 3335                                          0000260000000000
Precinct  0000261Pct 3336/3344                                     0000261000000000
Precinct  0000262Pct 3338                                          0000262000000000
Precinct  0000263Pct 3342/3341                                     0000263000000000
Precinct  0000264Pct 3343/3334                                     0000264000000000
Precinct  0000265Pct 3345/3339                                     0000265000000000
Precinct  0000266Pct 3346                                          0000266000000000
Precinct  0000267Pct 3347                                          0000267000000000
Precinct  0000268Pct 3348                                          0000268000000000
Precinct  0000269Pct 3349/3351                                     0000269000000000
Precinct  0000270Pct 3502/3501                                     0000270000000000
Precinct  0000271Pct 3504/3503                                     0000271000000000
Precinct  0000272Pct 3505                                          0000272000000000
Precinct  0000273Pct 3506                                          0000273000000000
Precinct  0000274Pct 3507                                          0000274000000000
Precinct  0000275Pct 3509/3508                                     0000275000000000
Precinct  0000276Pct 3510                                          0000276000000000
