candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
David B. Wheeler,27.71,19312.0,15859.393683948258,57.872,35171.393683948256,
John Edwards,2.208,1539.0,34.164109378568604,2.589,1573.1641093785686,
Carol Becker,69.106,48163.0,-24931.0,38.227,23232.0,
writeIns,0.976,680.0,118.02146876232793,1.313,798.0214687623279,
exhaust,0.0,129.0,8919.420737910843,0.0,9048.420737910843,
colsum,100.0,69823.0,-1.8189894035458565e-12,100.00099999999999,69823.0,
