candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer
NANCY TUNG,19.334,37353.0,0.0,19.334,37353.0,9277.0,24.978,46630.0,-46630.0,0.0,0.0,
SUZY LOFTUS,31.06,60007.0,0.0,31.06,60007.0,6501.0,35.625,66508.0,17364.0,49.168,83872.0,
CHESA BOUDIN,35.614,68805.0,0.0,35.614,68805.0,4745.0,39.397,73550.0,13162.0,50.832,86712.0,
writeIns,0.001,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LEIF DAUTCH,13.991,27031.0,0.0,13.991,27031.0,-27031.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,525.0,1.0,0.0,526.0,6508.0,0.0,7034.0,16104.0,0.0,23138.0,
colsum,100.0,193722.0,0.0,99.999,193722.0,0.0,100.0,193722.0,0.0,100.0,193722.0,
