candidate,r1_percent,r1_count,r1_transfer
PEGGY MOORE,19.95,31925.0,1011
BRUCE QUAN,17.086,27342.0,1302
NANCY SIDEBOTHAM,3.624,5799.0,-5799
FRANCIS ''MATT'' HUMMEL,7.245,11593.0,1063
REBECCA KAPLAN,52.095,83365.0,1193
exhaust,0.0,0.0,1230
colsum,100.0,160024.0,0
