candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer
writeIns,0.329,69.0,-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JILL BROADHURST,22.897,4807.0,2,22.962,4809.0,69,23.398,4878.0,184,24.42,5062.0,224,25.864,5286.0,542,29.627,5828.0,781
CLINTON KILLIAN,5.421,1138.0,5,5.458,1143.0,60,5.77,1203.0,70,6.141,1273.0,-1273,0.0,0.0,0,0.0,0.0,0
JASON GILLEN,2.525,530.0,1,2.535,531.0,-531,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
LIBBY SCHAAF,41.707,8756.0,2,41.818,8758.0,77,42.378,8835.0,166,43.422,9001.0,248,45.254,9249.0,1190,53.068,10439.0,827
RALPH KANZ,4.206,883.0,2,4.226,885.0,51,4.49,936.0,-936,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
DANIEL SWAFFORD,11.184,2348.0,3,11.226,2351.0,93,11.723,2444.0,297,13.223,2741.0,145,14.121,2886.0,-2886,0.0,0.0,0
MELANIE SHELBY,11.732,2463.0,3,11.775,2466.0,86,12.241,2552.0,100,12.794,2652.0,365,14.762,3017.0,387,17.305,3404.0,-3404
exhaust,0.0,0.0,51,0.0,51.0,95,0.0,146.0,119,0.0,265.0,291,0.0,556.0,767,0.0,1323.0,1796
colsum,100.00099999999999,20994.0,0,100.0,20994.0,0.0,99.99999999999999,20994.0,0.0,100.0,20994.0,0.0,100.00099999999999,20994.0,0.0,100.0,20994.0,0.0
