candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
Larry Edwards,9.273,464.0,27.90286022665947,9.885,491.90286022665947,
writeIns,0.38,19.0,0.49649217485159197,0.392,19.49649217485159,
Sarah A. Lucido,37.03,1853.0,-184.0,33.539,1669.0,
Harvey Curley,32.174,1610.0,61.86292498650836,33.597,1671.8629249865082,
Mary Hall-Rayford,21.143,1058.0,66.03345925526173,22.588,1124.0334592552617,
exhaust,0.0,23.0,27.704263356718833,0.0,50.70426335671883,
colsum,100.0,5027.0,-7.105427357601002e-15,100.001,5027.0,
