candidate,r1_percent,r1_count,r1_transfer
writeIns,0.758,152.0,
MICHAEL J. GREGORY,65.007,13030.0,
CAROL LIBBRECHT,0.599,120.0,
"DAVID L. ANDERSON, SR.",33.636,6742.0,
exhaust,0.0,0.0,
colsum,100.0,20044.0,
