candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer
CHERYL DAVILA,31.031,2215.0,1236,51.247,3451.0,2000
NANCI IRA ARMSTRONG-TEMPLE,29.224,2086.0,-2086,0.0,0.0,0
DARRYL MOORE,39.745,2837.0,446,48.753,3283.0,-3283
exhaust,0.0,0.0,404,0.0,404.0,1283
colsum,100.0,7138.0,0,100.0,7138.0,0
