candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer
GEORGE BEIER,34.369,1438.0,2.0,34.557,1440.0,
KRISS WORTHINGTON,49.665,2078.0,8.0,50.06,2086.0,
CECILIA ''CES'' ROSALES,15.105,632.0,9.0,15.383,641.0,
writeIns,0.86,36.0,-36.0,0.0,0.0,
exhaust,0.0,0.0,17.0,0.0,17.0,
colsum,99.999,4184.0,0.0,100.0,4184.0,
