candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer
Shawn Bunney,35.121,105057.0,44.0,35.173,105101.0,13589.0,41.165,118690.0,13602.0,49.245,132292.0,
Pat McCarthy,26.488,79235.0,20.0,26.524,79255.0,12953.0,31.981,92208.0,44138.0,50.755,136346.0,
Mike Lonergan,15.154,45330.0,48.0,15.186,45378.0,-45378.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.153,458.0,-458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Calvin Goings,23.084,69052.0,22.0,23.117,69074.0,8353.0,26.854,77427.0,-77427.0,0.0,0.0,
exhaust,0.0,0.0,324.0,0.0,324.0,10483.0,0.0,10807.0,19687.0,0.0,30494.0,
colsum,100.00000000000001,299132.0,0.0,100.00000000000001,299132.0,0.0,100.0,299132.0,0.0,100.0,299132.0,
