candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
Jan Shabro,41.255,63338.0,35.0,41.398,63373.0,
writeIns,0.376,578.0,-578.0,0.0,0.0,
Julie Anderson,49.915,76634.0,65.0,50.103,76699.0,
Will Baker,8.453,12978.0,32.0,8.499,13010.0,
exhaust,0.0,193.0,446.0,0.0,639.0,
colsum,99.999,153721.0,0.0,100.0,153721.0,
