candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer
Mike Derus,12.661,10679.0,0.0,12.661,10679.0,7.0,12.72,10686.0,245.0,13.078,10931.0,473.0,13.804,11404.0,931.0,15.189,12335.0,514.0,16.108,12849.0,1121.0,18.084,13970.0,618.5326432774276,19.314,14588.532643277427,-14588.532643277427,0.0,0.0,
Russ Henry,10.737,9056.0,0.0,10.737,9056.0,7.0,10.788,9063.0,146.0,11.018,9209.0,320.0,11.534,9529.0,286.0,12.086,9815.0,1199.0,13.808,11014.0,-11014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Meg Forney,22.538,19010.0,1.0,22.539,19011.0,14.0,22.647,19025.0,149.0,22.94,19174.0,404.0,23.698,19578.0,788.0,25.079,20366.0,700.0,26.41,21066.0,1440.0,29.134,22506.0,-1419.0,27.917,21087.0,0.0,33.843,21087.0,
Charlie Casserly,4.453,3756.0,2.0,4.455,3758.0,2.0,4.476,3760.0,154.0,4.683,3914.0,242.0,5.031,4156.0,-4156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jonathan Honerbrink,3.103,2617.0,0.0,3.103,2617.0,1.0,3.116,2618.0,329.0,3.526,2947.0,-2947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bob Sullentrop,1.967,1659.0,0.0,1.967,1659.0,5.0,1.981,1664.0,-1664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Londel French,14.707,12405.0,0.0,14.707,12405.0,2.0,14.769,12407.0,43.0,14.895,12450.0,139.0,15.238,12589.0,226.0,15.78,12815.0,1493.0,17.937,14308.0,3639.0,23.232,17947.0,825.6260484477981,24.853,18772.626048447797,1361.4117926024473,32.314,20134.037841050245,
Devin Hogan,7.405,6246.0,0.0,7.405,6246.0,4.0,7.44,6250.0,77.0,7.57,6327.0,144.0,7.833,6471.0,264.0,8.294,6735.0,-6735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Latrisha Vetaw,21.964,18526.0,0.0,21.964,18526.0,8.0,22.062,18534.0,97.0,22.29,18631.0,257.0,22.863,18888.0,254.0,23.572,19142.0,1387.0,25.737,20529.0,2298.0,29.55,22827.0,-1740.0,27.917,21087.0,0.0,33.843,21087.0,
writeIns,0.462,390.0,0.0,0.462,390.0,-390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Scott Vreeland,0.004,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,71.0,0.0,0.0,71.0,340.0,0.0,411.0,424.0,0.0,835.0,968.0,0.0,1803.0,1407.0,0.0,3210.0,1442.0,0.0,4652.0,2516.0,0.0,7168.0,1714.841308274774,0.0,8882.841308274774,13227.120850674979,0.0,22109.962158949755,
colsum,100.001,84418.0,0.0,100.0,84418.0,0.0,99.999,84418.0,0.0,100.0,84418.0,0.0,100.001,84418.0,0.0,100.0,84418.0,0.0,100.0,84418.0,0.0,100.0,84418.0,-2.2737367544323206e-13,100.001,84418.0,0.0,100.00000000000001,84418.0,
