candidate,r1_percent,r1_count,r1_transfer
Jose Cisneros,61.281,108155.0,
Isaac Wang,9.165,16175.0,
Calvin Louie,24.557,43341.0,
Manuel B. Valle,4.997,8820.0,
exhaust,0.0,0.0,
colsum,100.0,176491.0,
