candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer
Blong Yang,38.354,1617.0,0.0,38.418,1617.0,43.0,39.732,1660.0,109.0,43.337,1769.0,
Cathy Spann,3.771,159.0,0.0,3.778,159.0,-159.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.19,8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jeremiah Ellison,47.13,1987.0,1.0,47.232,1988.0,53.0,48.851,2041.0,272.0,56.663,2313.0,
Raeisha (RA) Williams,10.555,445.0,0.0,10.573,445.0,32.0,11.417,477.0,-477.0,0.0,0.0,
exhaust,0.0,1.0,7.0,0.0,8.0,31.0,0.0,39.0,96.0,0.0,135.0,
colsum,100.0,4217.0,0.0,100.001,4217.0,0.0,100.0,4217.0,0.0,100.0,4217.0,
