candidate,r1_percent,r1_count,r1_transfer
writeIns,0.699,184.0,
JODY LONDON,75.397,19840.0,
THEARSE PECOT,23.904,6290.0,
exhaust,0.0,0.0,
colsum,100.0,26314.0,
