candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer
GORDON MAR,36.289,10314.0,74,36.636,10388.0,187,37.531,10575.0,258,38.849,10833.0,305,41.098,11138.0,665,45.623,11803.0,1452,56.84,13255.0,3285
JESSICA HO,26.191,7444.0,112,26.648,7556.0,172,27.427,7728.0,130,28.18,7858.0,448,30.648,8306.0,707,34.838,9013.0,1052,43.16,10065.0,-10065
MIKE MURPHY,4.159,1182.0,51,4.348,1233.0,57,4.578,1290.0,-1290,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
TREVOR MCNEIL,12.279,3490.0,57,12.509,3547.0,136,13.071,3683.0,304,14.298,3987.0,483,16.494,4470.0,585,19.539,5055.0,-5055,0.0,0.0,0
TUAN NGUYEN,3.001,853.0,45,3.167,898.0,-898,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ARTHUR TOM,8.588,2441.0,72,8.863,2513.0,107,9.298,2620.0,120,9.826,2740.0,447,11.76,3187.0,-3187,0.0,0.0,0,0.0,0.0,0
LOU ANN BASSAN,7.681,2183.0,37,7.829,2220.0,61,8.095,2281.0,186,8.847,2467.0,-2467,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ADAM KIM,1.812,515.0,-515,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,67,0.0,67.0,178,0.0,245.0,292,0.0,537.0,784,0.0,1321.0,1230,0.0,2551.0,2551,0.0,5102.0,6780
colsum,100.0,28422.0,0,100.0,28422.0,0,100.0,28422.0,0,99.99999999999999,28422.0,0,100.0,28422.0,0,100.0,28422.0,0,100.0,28422.0,0
