candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer
Gary Schiff,29.426,1624.0,0.0,29.479,1624.0,42.0,30.642,1666.0,268.0,39.341,1934.0,
Mohamed Farah,19.641,1084.0,1.0,19.695,1085.0,33.0,20.563,1118.0,-1118.0,0.0,0.0,
Alondra Cano,47.527,2623.0,10.0,47.795,2633.0,20.0,48.795,2653.0,329.0,60.659,2982.0,
Ronald W. Peterson,3.026,167.0,0.0,3.031,167.0,-167.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.381,21.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,0.0,10.0,0.0,10.0,72.0,0.0,82.0,521.0,0.0,603.0,
colsum,100.00099999999999,5519.0,0.0,100.0,5519.0,0.0,100.0,5519.0,0.0,100.0,5519.0,
