candidate,r1_percent,r1_count,r1_transfer
KENNETH PON,18.946,4708.0,1335
DEBORAH COX,65.154,16190.0,1616
EVA ARCE,15.9,3951.0,-3951
exhaust,0.0,0.0,1000
colsum,100.0,24849.0,0
