candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer
ARACELY ''SHELLY'' GARZA,6.66,752.0,2.0,6.705,754.0,-754.0,0.0,0.0,0.0,0.0,0.0,
DAWN MCMAHAN,18.234,2059.0,8.0,18.382,2067.0,172.0,20.261,2239.0,-2239.0,0.0,0.0,
MARIO JUAREZ,33.431,3775.0,10.0,33.659,3785.0,180.0,35.879,3965.0,779.0,45.354,4744.0,
writeIns,0.646,73.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NOEL GALLO,41.029,4633.0,6.0,41.254,4639.0,208.0,43.86,4847.0,869.0,54.646,5716.0,
exhaust,0.0,66.0,47.0,0.0,113.0,194.0,0.0,307.0,591.0,0.0,898.0,
colsum,100.0,11358.0,0.0,100.0,11358.0,0.0,100.0,11358.0,0.0,100.0,11358.0,
