candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer
JOEL ENGARDIO,13.28,4168.0,40.0,13.438,4208.0,84.0,13.749,4292.0,130.0,14.3,4422.0,166.0,15.068,4588.0,255.0,16.165,4843.0,-4843.0,0.0,0.0,0.0,0.0,0.0,
MICHAEL GARCIA,17.563,5512.0,44.0,17.743,5556.0,86.0,18.073,5642.0,131.0,18.67,5773.0,172.0,19.524,5945.0,351.0,21.015,6296.0,1177.0,26.345,7473.0,-7473.0,0.0,0.0,
GLENN ROGERS,1.902,597.0,-597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JULIAN P. LAGOS,3.476,1091.0,81.0,3.743,1172.0,157.0,4.257,1329.0,111.0,4.657,1440.0,-1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
NORMAN YEE,29.256,9182.0,69.0,29.543,9251.0,124.0,30.032,9375.0,163.0,30.845,9538.0,399.0,32.635,9937.0,260.0,34.035,10197.0,987.0,39.427,11184.0,1321.0,50.265,12505.0,
ROBERT J. SQUERI,4.923,1545.0,47.0,5.084,1592.0,32.0,5.202,1624.0,75.0,5.494,1699.0,86.0,5.862,1785.0,-1785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ANDREW BLEY,2.629,825.0,100.0,2.954,925.0,147.0,3.434,1072.0,-1072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
F. X. FRANCIS XAVIER CROWLEY,24.681,7746.0,61.0,24.931,7807.0,76.0,25.252,7883.0,167.0,26.033,8050.0,144.0,26.911,8194.0,430.0,28.785,8624.0,1085.0,34.228,9709.0,2664.0,49.735,12373.0,
LYNN GAVIN,2.291,719.0,84.0,2.564,803.0,-803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,181.0,71.0,0.0,252.0,97.0,0.0,349.0,295.0,0.0,644.0,473.0,0.0,1117.0,489.0,0.0,1606.0,1594.0,0.0,3200.0,3488.0,0.0,6688.0,
colsum,100.001,31566.0,0.0,100.0,31566.0,0.0,99.999,31566.0,0.0,99.999,31566.0,0.0,100.0,31566.0,0.0,100.0,31566.0,0.0,100.0,31566.0,0.0,100.0,31566.0,
