candidate,r1_percent,r1_count,r1_transfer
Renee Saucedo,22.105,5497.0,
James Boris Perez,2.344,583.0,
Lucrecia Bermudez,4.13,1027.0,
Tom Ammiano,50.635,12592.0,
Steve Zeltzer,3.241,806.0,
Write-In,0.068,17.0,
Miguel Bustos,17.476,4346.0,
exhaust,0.0,0.0,
colsum,99.999,24868.0,
