candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
JOHANA BENCOMO,49.004,763.0,159.0,62.764,922.0,
ANTOINETTE M REYES,21.58,336.0,-336.0,0.0,0.0,
ROBERT J PALACIOS,29.416,458.0,89.0,37.236,547.0,
exhaust,0.0,5.0,88.0,0.0,93.0,
colsum,100.0,1562.0,0.0,100.0,1562.0,
