candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer
JOHN FARRELL,14.027,4948.0,608.0,15.858,5556.0,-5556.0,0.0,0.0,0.0,0.0,0.0,
NORMAN YEE,40.197,14179.0,493.0,41.876,14672.0,1124.0,46.373,15796.0,1896.0,57.993,17692.0,
BEN MATRANGA,18.422,6498.0,335.0,19.502,6833.0,1834.0,25.444,8667.0,-8667.0,0.0,0.0,
MIKE YOUNG,5.681,2004.0,-2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JOEL ENGARDIO,21.673,7645.0,331.0,22.765,7976.0,1624.0,28.183,9600.0,3215.0,42.007,12815.0,
exhaust,0.0,128.0,237.0,0.0,365.0,974.0,0.0,1339.0,3556.0,0.0,4895.0,
colsum,100.0,35402.0,0.0,100.00099999999999,35402.0,0.0,100.0,35402.0,0.0,100.0,35402.0,
