candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer,r15_percent,r15_count,r15_transfer,r16_percent,r16_count,r16_transfer,r17_percent,r17_count,r17_transfer
Ronald Lischeid,0.311,325.0,0.0,0.311,325.0,10,0.321,335.0,0.0,0.321,335.0,13,0.333,348.0,6,0.339,354.0,8,0.347,362.0,-362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gregg A. Iverson,0.321,335.0,0.0,0.321,335.0,1,0.322,336.0,2,0.324,338.0,2,0.326,340.0,5,0.331,345.0,-345,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Benjegerdes,0.176,184.0,0.0,0.176,184.0,8,0.184,192.0,1,0.185,193.0,-193,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Rosenfeld,0.456,477.0,0.0,0.456,477.0,0,0.456,477.0,3,0.46,480.0,3,0.463,483.0,7,0.47,490.0,10,0.48,500.0,10,0.49,510.0,-510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writeIns,0.132,138.0,0.0,0.132,138.0,0,0.132,138.0,-138,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David John Wilson,0.21,220.0,0.0,0.21,220.0,3,0.213,223.0,4,0.217,227.0,5,0.222,232.0,-232,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.A. Nik,0.586,612.0,0.0,0.586,612.0,5,0.59,617.0,4,0.595,621.0,11,0.606,632.0,7,0.613,639.0,3,0.616,642.0,43,0.658,685.0,10,0.668,695.0,52,0.72,747.0,-747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aswar Rahman,0.723,756.0,0.0,0.723,756.0,6,0.729,762.0,0,0.73,762.0,6,0.736,768.0,7,0.743,775.0,11,0.754,786.0,10,0.765,796.0,23,0.788,819.0,19,0.808,838.0,12,0.822,850.0,41,0.864,891.0,-891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher Zimmerman,0.001,1.0,-1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Betsy Hodges,18.097,18915.0,0,18.097,18915.0,6,18.107,18921.0,6,18.128,18927.0,8,18.143,18935.0,12,18.167,18947.0,69,18.248,19016.0,19,18.286,19035.0,64,18.365,19099.0,43,18.445,19142.0,26,18.535,19168.0,124,18.698,19292.0,104,18.848,19396.0,71,19.106,19467.0,4044,23.564,23511.0,3364,28.712,26875.0,-26875,0.0,0.0,0.0
