candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer
writeIns,0.431,18.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CHARLES CURTIS,8.088,338.0,0.0,8.115,338.0,7.0,8.315,345.0,32.0,9.177,377.0,20.0,10.148,397.0,-397.0,0.0,0.0,
ALONDRA CANO,40.632,1698.0,1.0,40.792,1699.0,24.0,41.528,1723.0,64.0,43.5,1787.0,74.0,47.572,1861.0,126.0,53.057,1987.0,
TY MOORE,37.545,1569.0,2.0,37.719,1571.0,12.0,38.154,1583.0,31.0,39.289,1614.0,40.0,42.28,1654.0,104.0,46.943,1758.0,
PAT FLEETHAM,3.661,153.0,1.0,3.697,154.0,42.0,4.724,196.0,-196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GREGORY MCDONALD,2.8,117.0,0.0,2.809,117.0,-117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ABDI ABDULLE,6.844,286.0,0.0,6.867,286.0,16.0,7.279,302.0,28.0,8.033,330.0,-330.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,0.0,14.0,0.0,14.0,16.0,0.0,30.0,41.0,0.0,71.0,196.0,0.0,267.0,167.0,0.0,434.0,
colsum,100.00099999999999,4179.0,0.0,99.99900000000001,4179.0,0.0,100.0,4179.0,0.0,99.99900000000001,4179.0,0.0,100.0,4179.0,0.0,100.0,4179.0,
