candidate,r1_percent,r1_count,r1_transfer
BARBARA PARKER,68.426,90055.0,167
writeIns,0.81,1066.0,-1066
JANE BRUNNER,30.764,40488.0,89
exhaust,0.0,0.0,810
colsum,100.0,131609.0,0
