candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer
DONALD MACLEAY,6.483,1858.0,4.0,6.519,1862.0,75.0,6.837,1937.0,-1937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RICHARD RAYA,20.018,5737.0,0.0,20.086,5737.0,200.0,20.955,5937.0,188.0,21.818,6125.0,480.0,24.018,6605.0,685.0,27.667,7290.0,-7290.0,0.0,0.0,
AMY LEMLEY,25.315,7255.0,4.0,25.415,7259.0,252.0,26.511,7511.0,232.0,27.582,7743.0,406.0,29.633,8149.0,608.0,33.235,8757.0,2691.0,48.22,11448.0,
CRAIG BRANDT,4.836,1386.0,0.0,4.853,1386.0,-1386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GORDON ''DON'' LINK,7.509,2152.0,0.0,7.534,2152.0,230.0,8.407,2382.0,139.0,8.98,2521.0,392.0,10.593,2913.0,-2913.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.373,107.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LEN RAPHAEL,6.647,1905.0,2.0,6.677,1907.0,258.0,7.642,2165.0,125.0,8.157,2290.0,-2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DAN KALB,28.818,8259.0,0.0,28.916,8259.0,141.0,29.648,8400.0,994.0,33.463,9394.0,439.0,35.756,9833.0,469.0,39.098,10302.0,1991.0,51.78,12293.0,
exhaust,0.0,107.0,97.0,0.0,204.0,230.0,0.0,434.0,259.0,0.0,693.0,573.0,0.0,1266.0,1151.0,0.0,2417.0,2608.0,0.0,5025.0,
colsum,99.99900000000001,28766.0,0.0,100.0,28766.0,0.0,99.99999999999999,28766.0,0.0,100.0,28766.0,0.0,100.0,28766.0,0.0,100.0,28766.0,0.0,100.0,28766.0,
