candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer
VU VUONG TRINH,3.595,6596.0,-6596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHARMIN BOCK,20.713,38005.0,1708,21.844,39713.0,4598,25.207,44311.0,-44311,0.0,0.0,0.0
BILL FAZIO,10.492,19252.0,698,10.974,19950.0,-19950,0.0,0.0,0,0.0,0.0,0.0
GEORGE GASCÓN,41.548,76236.0,1328,42.664,77564.0,6247,47.677,83811.0,16434,62.264,100245.0,13347
DAVID ONEK,23.652,43398.0,1176,24.518,44574.0,3094,27.116,47668.0,13088,37.736,60756.0,-60756
exhaust,0.0,0.0,1686,0.0,1686.0,6011,0.0,7697.0,14789,0.0,22486.0,47409
colsum,100.0,183487.0,0,100.0,183487.0,0.0,100.0,183487.0,0.0,100.0,183487.0,0.0
