candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
ROSS MIRKARIMI,38.452,70457.0,2017.0,40.255,72474.0,14118.0,53.541,86592.0,
PAUL MIYAMOTO,27.186,49814.0,4536.0,30.188,54350.0,20787.0,46.459,75137.0,
CHRIS CUNNIE,28.162,51602.0,1611.0,29.557,53213.0,-53213.0,0.0,0.0,
DAVID WONG,6.2,11360.0,-11360.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,0.0,3196.0,0.0,3196.0,18308.0,0.0,21504.0,
colsum,100.00000000000001,183233.0,0.0,100.0,183233.0,0.0,100.0,183233.0,
