candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer
JORGE SANCHEZ,1.502,210.0,10.0,1.574,220.0,-220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ALEXANDER PAIGE FRESQUEZ,0.758,106.0,-106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GREGORY Z SMITH,10.247,1433.0,26.0,10.436,1459.0,33.0,10.7,1492.0,43.0,11.051,1535.0,31.0,11.313,1566.0,87.0,12.034,1653.0,200.0,13.837,1853.0,-1853.0,0.0,0.0,0.0,0.0,0.0,
WILLIAM BILL MATTIACE,19.485,2725.0,7.0,19.542,2732.0,15.0,19.7,2747.0,82.0,20.367,2829.0,82.0,21.029,2911.0,155.0,22.321,3066.0,296.0,25.105,3362.0,472.0,29.442,3834.0,1723.0,44.92,5557.0,
ISABELLA SOLIS,4.748,664.0,4.0,4.778,668.0,36.0,5.049,704.0,62.0,5.515,766.0,39.0,5.815,805.0,-805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MIKE A TELLEZ,11.512,1610.0,6.0,11.559,1616.0,31.0,11.812,1647.0,50.0,12.217,1697.0,276.0,14.253,1973.0,197.0,15.798,2170.0,275.0,18.257,2445.0,277.0,20.903,2722.0,-2722.0,0.0,0.0,
JESUSITA DOLORES LUCERO,3.046,426.0,10.0,3.119,436.0,6.0,3.17,442.0,-442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BEV COURTNEY,3.518,492.0,3.0,3.541,495.0,7.0,3.6,502.0,37.0,3.88,539.0,-539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
EUGENIA (GINA) MONTOYA ORTEGA,8.202,1147.0,11.0,8.283,1158.0,20.0,8.448,1178.0,62.0,8.927,1240.0,34.0,9.203,1274.0,153.0,10.389,1427.0,-1427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KEN MIYAGISHIMA,36.982,5172.0,24.0,37.167,5196.0,36.0,37.522,5232.0,52.0,38.042,5284.0,30.0,38.388,5314.0,106.0,39.458,5420.0,312.0,42.802,5732.0,734.0,49.654,6466.0,348.0,55.08,6814.0,
exhaust,0.0,122.0,5.0,0.0,127.0,36.0,0.0,163.0,54.0,0.0,217.0,47.0,0.0,264.0,107.0,0.0,371.0,344.0,0.0,715.0,370.0,0.0,1085.0,651.0,0.0,1736.0,
colsum,100.0,14107.0,0.0,99.999,14107.0,0.0,100.001,14107.0,0.0,99.999,14107.0,0.0,100.001,14107.0,0.0,100.0,14107.0,0.0,100.001,14107.0,0.0,99.999,14107.0,0.0,100.0,14107.0,
