candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
Al Rose,30.792,12317.0,8,30.846,12325.0,4739,44.738,17064.0,-17064
Joyce McDonald,49.917,19967.0,5,49.985,19972.0,1106,55.262,21078.0,9153
writeIns,0.162,65.0,-65,0.0,0.0,0,0.0,0.0,0
Carolyn Merrival,19.127,7651.0,8,19.169,7659.0,-7659,0.0,0.0,0
exhaust,0.0,0.0,44,0.0,44.0,1814,0.0,1858.0,7911
colsum,99.998,40000.0,0,100.0,40000.0,0,100.0,40000.0,0
