candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer
Jose Medina,12.379,2869.0,24.0,12.514,2893.0,96.0,13.057,2989.0,370.0,14.85,3359.0,508.0,17.603,3867.0,816.0,22.624,4683.0,-4683.0,0.0,0.0,
Anita Grier,12.107,2806.0,39.0,12.306,2845.0,235.0,13.454,3080.0,442.0,15.571,3522.0,307.0,17.43,3829.0,-3829.0,0.0,0.0,0.0,0.0,0.0,
Rolando A. Bonialla,9.894,2293.0,23.0,10.018,2316.0,40.0,10.292,2356.0,215.0,11.367,2571.0,-2571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Myrna Viray Lim,18.467,4280.0,48.0,18.721,4328.0,556.0,21.335,4884.0,364.0,23.202,5248.0,471.0,26.033,5719.0,1041.0,32.659,6760.0,868.0,41.667,7628.0,
Fil M. Silverio,1.325,307.0,-307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gerardo Sandoval,32.262,7477.0,32.0,32.481,7509.0,128.0,33.361,7637.0,282.0,35.01,7919.0,634.0,38.934,8553.0,703.0,44.717,9256.0,1423.0,58.333,10679.0,
Tom Yuen,5.73,1328.0,35.0,5.896,1363.0,-1363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rebecca Reynolds Silverberg,7.836,1816.0,48.0,8.063,1864.0,82.0,8.501,1946.0,-1946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,0.0,58.0,0.0,58.0,226.0,0.0,284.0,273.0,0.0,557.0,651.0,0.0,1208.0,1269.0,0.0,2477.0,2392.0,0.0,4869.0,
colsum,100.0,23176.0,0.0,99.999,23176.0,0.0,100.0,23176.0,0.0,100.0,23176.0,0.0,100.0,23176.0,0.0,100.0,23176.0,0.0,100.0,23176.0,
