candidate,r1_active_percent,r1_count,r1_transfer
KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,4.259,2260.0,
KRISS WORTHINGTON,21.735,11534.0,
TOM BATES,54.067,28692.0,
ZACHARY RUNNINGWOLF,3.812,2023.0,
BERNT RAINER WAHL,4.393,2331.0,
writeIns,0.358,190.0,
JACQUELYN MCCORMICK,11.355,6026.0,
MARK SCHWARTZ,0.021,11.0,
exhaust,0.0,156.0,
colsum,100.00000000000001,53223.0,
