candidate,r1_active_percent,r1_count,r1_transfer
JILL BROADHURST,30.134,5335.0,
ANNIE CAMPBELL WASHINGTON,64.155,11358.0,
PAUL LIM,5.711,1011.0,
exhaust,0.0,20.0,
colsum,100.0,17724.0,
