candidate,r1_active_percent,r1_count,r1_transfer
ISWARI ESPAÑA,1.7,545.0,
MELISSA SAN MIGUEL,10.81,3465.0,
HILLARY RONEN,57.391,18396.0,
JOSHUA ARCE,30.099,9648.0,
exhaust,0.0,127.0,
colsum,100.0,32181.0,
