candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
John Quincy,34.934,3200.0,5,35.089,3205.0,776,45.56,3981.0,
writeIns,0.371,34.0,-34,0.0,0.0,0,0.0,0.0,
Erica Mauter,29.432,2696.0,1,29.527,2697.0,-2697,0.0,0.0,
Jeremy Schroeder,35.262,3230.0,2,35.384,3232.0,1525,54.44,4757.0,
exhaust,0.0,0.0,26,0.0,26.0,396,0.0,422.0,
colsum,99.999,9160.0,0,100.0,9160.0,0,100.0,9160.0,
