candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer
"Grassi, Joseph G.",12.274,2295.0,88.0,12.745,2383.0,199.0,13.809,2582.0,29.0,13.964,2611.0,41.0,14.183,2652.0,4.0,14.205,2656.0,3.0,14.28,2659.0,179.0,15.599,2838.0,
"McGovern, Marc C.",14.526,2716.0,142.0,15.285,2858.0,36.0,15.478,2894.0,-222.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.349,2672.0,0.0,14.687,2672.0,
writeIns,0.535,100.0,1.0,0.54,101.0,0.0,0.54,101.0,0.0,0.54,101.0,0.0,0.54,101.0,0.0,0.54,101.0,-101.0,0.0,0.0,0.0,0.0,0.0,
"Fantini, Alfred B.",15.536,2905.0,100.0,16.071,3005.0,-333.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.349,2672.0,0.0,14.687,2672.0,
"Lummis, Ben",13.927,2604.0,259.0,15.312,2863.0,24.0,15.44,2887.0,87.0,15.905,2974.0,-302.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.349,2672.0,0.0,14.687,2672.0,
"Walser, Nancy",20.548,3842.0,-1170.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.349,2672.0,0.0,14.687,2672.0,
"Price, Alan C.",6.958,1301.0,301.0,8.568,1602.0,23.0,8.691,1625.0,49.0,8.953,1674.0,131.0,9.653,1805.0,4.0,9.675,1809.0,10.0,9.769,1819.0,176.0,10.966,1995.0,
"Craig, Christopher",3.064,573.0,88.0,3.535,661.0,11.0,3.594,672.0,26.0,3.733,698.0,74.0,4.129,772.0,0.0,4.129,772.0,11.0,4.205,783.0,-783.0,0.0,0.0,
"Harding, Richard, Jr.",12.632,2362.0,191.0,13.654,2553.0,40.0,13.868,2593.0,31.0,14.034,2624.0,56.0,14.333,2680.0,-8.0,14.29,2672.0,0.0,14.349,2672.0,0.0,14.687,2672.0,
exhaust,0.0,375.0,0.0,0.0,375.0,0.0,0.0,375.0,0.0,0.0,375.0,0.0,0.0,375.0,0.0,0.0,375.0,77.0,0.0,452.0,428.0,0.0,880.0,
colsum,100.0,19073.0,0.0,99.99999999999999,19073.0,0.0,99.99999999999999,19073.0,0.0,99.99900000000001,19073.0,0.0,99.998,19073.0,0.0,99.999,19073.0,0.0,99.99900000000001,19073.0,0.0,99.99999999999999,19073.0,
