candidate,r1_active_percent,r1_count,r1_transfer
Tom Fiske,1.439,650.0,
R.T. Rybak,73.597,33234.0,
Christopher Clark,2.961,1337.0,
Papa John Kolstad,10.968,4953.0,
Bob Carney Jr.,0.505,228.0,
John Charles Wilson,0.303,137.0,
writeIns,0.467,211.0,
Bill McGaughey,0.514,232.0,
James R. Everett,0.791,357.0,
Al Flowers,3.975,1795.0,
Joey Lombard,0.983,444.0,
Dick Franson,3.497,1579.0,
exhaust,0.0,0.0,
colsum,99.99999999999999,45157.0,
