candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
"Davis, Laurie J.",14.609,368.0,-368.0,0.0,0.0,
"Grant, Benjamin K.",36.205,912.0,155.0,43.304,1067.0,
"Zager, Samuel Lewis",49.186,1239.0,158.0,56.696,1397.0,
exhaust,0.0,5.0,55.0,0.0,60.0,
colsum,100.0,2524.0,0.0,100.0,2524.0,
