candidate,r1_percent,r1_count,r1_transfer
BRAD BOURN,64.801,8903.0,14
writeIns,0.444,61.0,-61
JOSH NEIMAN,34.755,4775.0,9
exhaust,0.0,0.0,38
colsum,100.0,13739.0,0
