candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer
CARY KENNETH STOCKWELL,13.082,343.0,0.0,13.082,343.0,76.0,16.078,419.0,-419.0,0.0,0.0,
SCOTT PINKHAM,8.467,222.0,0.0,8.467,222.0,-222.0,0.0,0.0,0.0,0.0,0.0,
DOUG WELTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BRIAN V. HULET,41.953,1100.0,0.0,41.953,1100.0,83.0,45.395,1183.0,191.0,53.777,1374.0,
LINDA CARTER,36.499,957.0,0.0,36.499,957.0,47.0,38.526,1004.0,177.0,46.223,1181.0,
exhaust,0.0,55.0,0.0,0.0,55.0,16.0,0.0,71.0,51.0,0.0,122.0,
colsum,100.001,2677.0,0.0,100.001,2677.0,0.0,99.999,2677.0,0.0,100.0,2677.0,
