candidate,r1_percent,r1_count,r1_transfer
ABEL GUILLÉN,39.667,8323.0,305
KENZIE DONTE SMITH,6.429,1349.0,-1349
NIKKI FORTUNATO BAS,53.903,11310.0,669
exhaust,0.0,0.0,375
colsum,99.999,20982.0,0
